<snd/rcv/drop>  <time>  <packet_type>  <seq_num>  <num_bytes> <ack_num>
snd 0.49 S 0 0 0
rcv 0.98 SA 0 0 0
snd 1.05 A 0 0 0
drop 1.15 D 0 50 0
snd 5.94 D 0 50 0
rcv 6.26 A 0 0 50
snd 13.31 D 50 50 50
rcv 13.48 A 0 0 100
snd 14.08 D 100 50 100
rcv 14.26 A 0 0 150
snd 14.54 D 150 50 150
rcv 14.73 A 0 0 200
snd 15.00 D 200 50 200
rcv 15.22 A 0 0 250
snd 15.54 D 250 50 250
rcv 15.79 A 0 0 300
snd 16.27 D 300 50 300
rcv 16.44 A 0 0 350
snd 16.76 D 350 50 350
rcv 16.98 A 0 0 400
snd 17.31 D 400 50 400
rcv 17.61 A 0 0 450
drop 17.94 D 450 50 450
snd 23.42 D 450 50 450
rcv 23.85 A 0 0 500
snd 24.30 D 500 50 500
rcv 24.62 A 0 0 550
snd 25.89 D 550 50 550
rcv 26.12 A 0 0 600
snd 26.36 D 600 50 600
rcv 26.87 A 0 0 650
snd 27.40 D 650 50 650
rcv 27.62 A 0 0 700
snd 27.92 D 700 50 700
rcv 28.10 A 0 0 750
snd 28.37 D 750 50 750
rcv 28.60 A 0 0 800
snd 28.80 D 800 50 800
rcv 29.00 A 0 0 850
snd 29.31 D 850 50 850
rcv 29.64 A 0 0 900
snd 29.85 D 900 50 900
rcv 30.05 A 0 0 950
snd 30.29 D 950 50 950
rcv 30.48 A 0 0 1000
drop 30.74 D 1000 50 1000
snd 34.75 D 1000 50 1000
rcv 35.16 A 0 0 1050
snd 43.80 D 1050 50 1050
rcv 48.24 A 0 0 1100
snd 51.02 D 1100 50 1100
rcv 51.32 A 0 0 1150
snd 51.76 D 1150 50 1150
rcv 51.95 A 0 0 1200
snd 52.25 D 1200 50 1200
rcv 52.44 A 0 0 1250
snd 52.73 D 1250 50 1250
rcv 52.92 A 0 0 1300
snd 53.29 D 1300 50 1300
rcv 53.50 A 0 0 1350
drop 53.82 D 1350 50 1350
snd 59.14 D 1350 50 1350
rcv 60.11 A 0 0 1400
snd 78.55 D 1400 50 1400
snd 78.28 D 1400 50 1400
rcv 79.91 A 0 0 1450
rcv 80.35 A 0 0 1450
snd 81.01 D 1450 50 1450
rcv 81.32 A 0 0 1500
snd 81.75 D 1500 50 1500
rcv 82.03 A 0 0 1550
snd 82.65 D 1550 50 1550
rcv 82.90 A 0 0 1600
snd 84.35 D 1600 50 1600
rcv 84.62 A 0 0 1650
snd 84.89 D 1650 50 1650
rcv 86.70 A 0 0 1700
snd 87.04 D 1700 50 1700
rcv 87.26 A 0 0 1750
snd 87.59 D 1750 50 1750
rcv 87.81 A 0 0 1800
snd 88.56 D 1800 50 1800
rcv 88.90 A 0 0 1850
snd 89.29 D 1850 50 1850
rcv 89.64 A 0 0 1900
snd 89.93 D 1900 50 1900
rcv 90.14 A 0 0 1950
snd 90.36 D 1950 4 1950
rcv 90.58 A 0 0 1954
snd 101.49 F 1954 0 1954
rcv 101.68 FA 0 0 1954
snd 101.73 A 1954 0 1954
Amount of Data Transferred 1954
Number of Data Segments Sent 40
Number of Packets Dropped 4
Number of Retransmitted Segments 9
Number of Duplicate Acknowledgements received 1
